City_or_Regency,Vaccinated,Fully_Vaccinated,Total,Date,URL,
KAB TULUNGAGUNG,4212,,4212,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB TRENGGALEK,2097,,2097,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB MOJOKERTO,2926,,2926,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB MADIUN,1955,,1955,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB BONDOWOSO,2164,,2164,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KOTA MADIUN,2974,,2974,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB BANYUWANGI,4145,,4145,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB PROBOLINGGO,2243,,2243,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KOTA SURABAYA,24212,5584,29796,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB PONOROGO,2814,,2814,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB TUBAN,2427,,2427,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB GRESIK,4644,1126,5770,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB KEDIRI,3449,,3449,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB JEMBER,5133,,5133,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KOTA BLITAR,1829,,1829,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KOTA MOJOKERTO,2129,,2129,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KOTA PASURUAN,1006,,1006,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KOTA KEDIRI,3509,,3509,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB MALANG,5254,,5254,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB SIDOARJO,6713,951,7664,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB NGANJUK,2628,,2628,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KOTA MALANG,8150,,8150,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB NGAWI,2265,,2265,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB MAGETAN,1939,,1939,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB SITUBONDO,1840,,1840,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB BANGKALAN,1968,,1968,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KOTA PROBOLINGGO,1132,,1132,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB PAMEKASAN,1655,,1655,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB PASURUAN,2531,,2531,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB SAMPANG,1011,,1011,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB SUMENEP,1559,,1559,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB PACITAN,1001,,1001,2/4/2021,https://twitter.com/KominfoJatim/status/1357354715156107264/photo,
KAB MADIUN,2123,,2123,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB PASURUAN,3766,,3766,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB BANGKALAN,2691,,2691,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB BANYUWANGI ,4768,,4768,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB MALANG,6493,,6493,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB MAGETAN,2164,,2164,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KOTA BLITAR,2040,,2040,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB TUBAN,2467,,2467,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB KEDIRI,4232,,4232,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KOTA PROBOLINGGO,1371,,1371,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KOTA MALANG,9164,,9164,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB TRENGGALEK,2365,,2365,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB NGAWI,2280,,2280,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB SUMENEP,2295,,2295,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
KAB PAMEKASAN,1991,,1991,2/6/2021,https://twitter.com/KominfoJatim/status/1358153685214269441/photo,
